,runtime,nLetters,nSeqs,SA,nPaths,str_file,string
0,0.0017673,3,1,3,0,StringFiles\AAA_pathway.txt,AAA
1,0.0014891,4,1,2,1,StringFiles\AAAA_pathway.txt,AAAA
2,0.0014162,6,1,3,2,StringFiles\AAAAAA_pathway.txt,AAAAAA
3,0.0019055,7,1,4,2,StringFiles\AAAAAAB_pathway.txt,AAAAAAB
4,0.0021582,10,1,5,1,StringFiles\AAAAAACAAC_pathway.txt,AAAAAACAAC
5,0.0130867,15,1,9,1,StringFiles\AAAAABAAACBABAA_pathway.txt,AAAAABAAACBABAA
6,0.0016374,8,1,6,1,StringFiles\AAAAABAD_pathway.txt,AAAAABAD
7,0.0018441,10,1,7,1,StringFiles\AAAAABDCAA_pathway.txt,AAAAABDCAA
8,0.0014985,6,1,4,1,StringFiles\AAAAAC_pathway.txt,AAAAAC
9,0.001942,8,1,5,1,StringFiles\AAAAADAA_pathway.txt,AAAAADAA
10,0.011813,15,1,8,5,StringFiles\AAAAADBAADBAAAA_pathway.txt,AAAAADBAADBAAAA
11,0.187582,21,1,14,8,StringFiles\AAAABAADAABBDABBBADAA_pathway.txt,AAAABAADAABBDABBBADAA
12,0.0824672,20,1,14,5,StringFiles\AAAABABDCADCACABBBAA_pathway.txt,AAAABABDCADCACABBBAA
13,0.0101389,17,1,12,1,StringFiles\AAAABACAABBBDCBDB_pathway.txt,AAAABACAABBBDCBDB
14,0.0023481,12,1,7,1,StringFiles\AAAABACBAABA_pathway.txt,AAAABACBAABA
15,0.0020799,10,1,5,1,StringFiles\AAAABBAAAA_pathway.txt,AAAABBAAAA
16,0.0729228,20,1,14,6,StringFiles\AAAABBADBCCCBBCCBBBA_pathway.txt,AAAABBADBCCCBBCCBBBA
17,0.288641,21,1,11,4,StringFiles\AAAABBDADADABBAABBDAD_pathway.txt,AAAABBDADADABBAABBDAD
18,0.0016821,8,1,6,1,StringFiles\AAAABCAD_pathway.txt,AAAABCAD
19,0.0294872,17,1,10,5,StringFiles\AAAABDADAAAADDADA_pathway.txt,AAAABDADAAAADDADA
20,0.0016733,8,1,6,1,StringFiles\AAAABDBA_pathway.txt,AAAABDBA
21,0.0245835,17,1,8,1,StringFiles\AAAABDBAABAABDBDB_pathway.txt,AAAABDBAABAABDBDB
22,0.0014002,5,1,3,1,StringFiles\AAAAC_pathway.txt,AAAAC
23,0.0168415,17,1,10,2,StringFiles\AAAACADAACADCDADA_pathway.txt,AAAACADAACADCDADA
24,0.0017882,10,1,7,1,StringFiles\AAAACADDAA_pathway.txt,AAAACADDAA
25,0.0434531,18,1,11,3,StringFiles\AAAACBACAAACCBACCC_pathway.txt,AAAACBACAAACCBACCC
